mux,Breakout
clf,+250%
line,+200%
nflx,+150%
tsla,+130%
utx,+130%
djia,+80%
fcx stock price,+80%
fcx dividend,+70%
fcx jobs,+60%
fcx route,+60%
fb,+40%
