goog,Breakout
hal stock quote,+3,750%
erts,+2,500%
stock hal,+200%
hal turner,+190%
hal hidgon,+150%
hal lebovitz,+90%
hal linsey,+80%
hal blaine,+80%
hal crook,+70%
hal lindsay,+60%
hal brooks,+60%
hal lindsey,+50%
hal holbrook,+50%
hal david,+50%
hal mumme,+50%
hal higdon marathon,+50%
hal linden,+50%
hal higdon,+40%
