txu buyout,Breakout
kkr,Breakout
hurc,+3,600%
txu merger,+700%
oncor,+500%
txu bonds,+450%
txu deal,+350%
att,+110%
time warner cable,+90%
txu news,+70%
txu corporation,+60%
txu energy.com,+50%
txu corp,+50%
