fre,Breakout
uaua,+450%
lcc,+400%
cal,+300%
amr,+250%
aapl,+110%
siri,+100%
dal tile products,+90%
bajrang dal,+90%
dal dhokli,+70%
dal stock,+40%
tadka dal,+40%
