jackson wy,100
cheyenne wy,55
jackson hole,40
jackson hole wy,40
jackson hole, wy,35
jackson, wy,35
casper wy,35
laramie wy,30
cheyenne, wy,30
casper, wy,25
cody wy,20
sheridan wy,20
laramie, wy,20
cody, wy,15
gillette wy,15
sheridan, wy,10
gillette, wy,10
rock springs wy,10
buffalo wy,10
lander wy,10
rock springs, wy,10
riverton, wy,5
pinedale, wy,5
lander, wy,5
saratoga, wy,5
