jackson wy,100
wyoming,80
cheyenne wy,55
casper wy,45
jackson hole,40
jackson hole wy,40
cheyenne, wy,35
laramie wy,35
jackson, wy,30
jackson hole, wy,30
casper, wy,30
laramie, wy,25
cody wy,20
gillette wy,20
sheridan wy,15
yellowstone,15
gillette, wy,15
cody, wy,15
sheridan, wy,10
rock springs wy,10
rock springs, wy,10
buffalo wy,10
riverton wy,10
evanston wy,10
riverton, wy,5
