fb stock,Breakout
fb,+2,450%
mcd,+200%
aapl stock,+180%
amzn,+160%
aapl,+150%
yahoo finance sbux,+150%
goog,+140%
yahoo finance,+120%
sbux dividend,+110%
gmcr,+110%
sbux after hours,+80%
sbux news,+60%
bac,+50%
