regn,Breakout
gild,Breakout
zoltek,Breakout
tsla,+2,300%
tsla stock,+700%
amd,+450%
yhoo,+250%
nflx,+170%
sbux after hours,+130%
fb stock,+120%
cvx,+100%
hd,+90%
txn,+80%
t stock,+70%
fb,+70%
amzn,+60%
intc,+60%
djia,+60%
dow jones,+60%
goog,+50%
nok,+40%
