omaha ne,100
omaha,95
lincoln ne,55
omaha, ne,55
nebraska,30
lincoln, ne,30
ne yo,20
state ne,10
bellevue ne,10
ne yo lyrics,10
york ne,5
kearney ne,5
ne patriots,5
grand island ne,5
bellevue, ne,5
norfolk ne,5
fremont ne,5
hastings ne,5
kearney, ne,5
je ne sais,5
columbus ne,5
grand island, ne,5
douglas county ne,5
neyo,5
papillion ne,5
