nyx,Breakout
cmg,Breakout
hvt,+4,650%
dakt,+4,550%
insm,+3,400%
ati,+500%
ma,+450%
hans,+450%
dis,+450%
gs,+350%
grmn,+300%
brcm,+300%
tie,+300%
hal,+250%
gg,+250%
sndk,+200%
wynn,+190%
isrg,+180%
wfmi,+180%
gm,+180%
akam,+170%
rimm,+170%
amd,+160%
ba,+160%
jdsu,+150%
