lnkd,Breakout
grpn,Breakout
steve jobs,+900%
ezch,+600%
sina,+550%
agq,+400%
ffiv,+350%
awol,+300%
aapl premarket,+250%
bloomberg futures,+250%
slv,+250%
rvbd,+200%
lulu,+200%
sapling,+190%
aa stock,+190%
idcc,+180%
sina stock,+170%
aaapl,+150%
dow futures,+130%
nflx stock,+130%
cmi,+120%
slw,+110%
emr,+110%
aapl pain,+100%
nflx,+100%
