ipi,Breakout
sol,Breakout
uyg,Breakout
fre,+1,400%
skf,+1,250%
fnm,+1,150%
csiq,+1,150%
v stock,+750%
wb,+650%
abk,+650%
aig,+650%
solf,+550%
ncc,+500%
jpm,+500%
mos,+500%
leh,+400%
cgmfx,+350%
djia,+350%
xlf,+350%
pot,+350%
wm,+350%
akns,+350%
dug,+300%
ldk,+250%
drys,+250%
