missouri,100
springfield mo,80
kansas city,80
st. louis,80
kansas city mo,75
st. louis mo,75
st louis mo,75
st louis,75
st. louis, mo,75
columbia mo,55
kansas city, mo,55
springfield, mo,45
branson mo,35
branson,35
state mo,30
columbia, mo,30
st louis, mo,25
branson, mo,20
joplin mo,15
independence mo,15
st. charles mo,15
st charles mo,10
chesterfield mo,10
jefferson city mo,10
st. charles, mo,10
