missouri,100
st. louis mo,65
st. louis, mo,60
kansas city mo,55
springfield mo,55
kansas city,50
st louis,50
st louis mo,50
columbia mo,40
kansas city, mo,40
springfield, mo,35
state mo,25
branson,25
columbia, mo,25
branson mo,25
branson, mo,20
st louis, mo,15
st. charles mo,10
keb mo,10
joplin mo,10
mo rocca,10
mo money,10
jefferson city mo,10
independence mo,10
state of mo,10
