springfield mo,100
missouri,80
st louis mo,75
kansas city mo,70
st louis,70
st. louis mo,65
columbia mo,65
branson,40
branson mo,40
st. louis, mo,30
kansas city, mo,25
mo state,25
joplin mo,25
independence mo,20
springfield, mo,20
craigslist mo,15
jefferson city mo,15
movie mo,15
st charles mo,15
chesterfield mo,15
st louis, mo,15
columbia, mo,15
st. charles mo,10
liberty mo,10
washington mo,10
