springfield mo,100
missouri,95
kansas city mo,90
kansas city,90
st louis mo,85
st. louis mo,80
columbia mo,70
st. louis, mo,50
branson,45
branson mo,45
kansas city, mo,35
mo state,30
springfield, mo,30
columbia, mo,20
joplin mo,20
independence mo,20
st louis, mo,15
jefferson city mo,15
st charles mo,15
st. charles mo,15
chesterfield mo,15
craigslist mo,15
branson, mo,15
liberty mo,10
saint louis mo,10
