springfield mo,100
missouri,95
kansas city,85
kansas city mo,80
st louis mo,80
st. louis mo,75
st. louis,75
st. louis, mo,65
columbia mo,65
kansas city, mo,50
springfield, mo,45
branson mo,35
branson,35
columbia, mo,30
state mo,30
st louis, mo,20
branson, mo,15
joplin mo,15
independence mo,15
st charles mo,15
jefferson city mo,15
st. charles mo,15
chesterfield mo,10
liberty mo,10
st.louis mo,10
