springfield mo,100
st louis mo,55
missouri,55
st louis,55
columbia mo,55
kansas city,50
kansas city mo,50
joplin mo,40
st. louis mo,35
joplin,35
branson,30
branson mo,30
craigslist mo,20
mo state,15
st. louis, mo,15
kansas city, mo,15
independence mo,15
springfield, mo,10
movie mo,10
jefferson city mo,10
st charles mo,10
chesterfield mo,10
liberty mo,10
st louis, mo,5
columbia, mo,5
