springfield mo,100
st louis mo,70
columbia mo,60
kansas city mo,55
missouri,55
kansas city,55
st. louis mo,35
branson,35
branson mo,35
craigslist mo,25
joplin mo,20
mo state,15
independence mo,15
st. louis, mo,15
st charles mo,15
jefferson city mo,10
kansas city, mo,10
movie mo,10
chesterfield mo,10
springfield, mo,10
st joseph mo,10
st louis, mo,5
cape girardeau mo,5
craigslist springfield mo,5
blue springs mo,5
