tsla,Breakout
aig stock,+4,700%
nflx stock price,+4,150%
schg,+2,050%
appl ticker,+1,900%
vz p265v3 rc,+650%
ddd,+550%
vz business attire,+500%
vz edge,+400%
ba,+250%
vz 58 receiver,+250%
vod,+150%
fcx,+140%
djia,+140%
bac stock,+140%
goog,+120%
xom,+120%
f stock,+120%
dis,+110%
dow jones,+100%
vz news,+100%
qcom,+90%
dow,+90%
vz wireless login,+70%
ko,+70%
