facebook.de,Breakout
caterpillar stock,+4,450%
vz business attire,+3,300%
ftr,+1,050%
svz,+350%
wkw,+300%
jappy,+250%
vz cash,+200%
meinvz,+140%
vz dividend,+130%
schülervz,+110%
aapl,+110%
gmx.de,+100%
mein vz,+90%
vz maly sisak,+80%
tbt,+80%
vz grips,+60%
web.de,+60%
schüler vz,+50%
norisbank,+50%
gmx,+40%
gild,+40%
