michigan,100
detroit mi,35
detroit,35
grand rapids,30
grand rapids mi,30
grand rapids, mi,25
mi state,20
lansing mi,20
detroit, mi,20
ann arbor,20
ann arbor mi,20
ann arbor, mi,15
lansing, mi,15
mi homes,15
troy mi,15
kalamazoo mi,10
rochester mi,10
flint mi,10
holland mi,10
troy, mi,10
kalamazoo, mi,10
jackson mi,10
mi jobs,10
state of mi,10
dearborn mi,10
