michigan,100
detroit,35
detroit mi,35
grand rapids,30
grand rapids mi,30
grand rapids, mi,30
lansing mi,25
mi state,20
detroit, mi,20
ann arbor mi,20
lansing, mi,20
ann arbor, mi,15
troy mi,15
mi homes,15
kalamazoo mi,10
rochester mi,10
holland mi,10
flint mi,10
kalamazoo, mi,10
troy, mi,10
mi amor,10
mi bank,10
dearborn mi,10
jackson mi,10
canton mi,10
