michigan,100
grand rapids mi,40
detroit mi,40
lansing mi,25
grand rapids, mi,25
state mi,20
ann arbor mi,20
detroit, mi,20
mi amor,15
lansing, mi,15
ann arbor, mi,15
troy mi,15
kalamazoo mi,15
holland mi,15
mi homes,10
flint mi,10
mi bank,10
livonia mi,10
canton mi,10
mi pc,10
dearborn mi,10
novi mi,10
saginaw mi,10
kalamazoo, mi,10
state of mi,10
