twtr,Breakout
bbry,Breakout
fnma,Breakout
opk stock,+2,200%
tsla,+2,050%
tsla stock,+1,000%
jcp,+650%
rad,+600%
gld,+400%
dow,+350%
nflx,+250%
fb stock,+250%
sbux,+250%
aapl stock,+180%
qcom,+170%
goog stock,+160%
yhoo stock,+160%
lnkd,+140%
aapl,+140%
msft,+140%
gild,+130%
aig,+130%
fb,+130%
amzn,+130%
znga,+120%
