fre,Breakout
bsc,+750%
aig,+700%
fnm,+700%
leh,+450%
wm,+400%
bac,+250%
etfc,+180%
dji,+150%
ldk,+140%
yhoo answers,+140%
msft,+130%
quote yhoo,+130%
gm,+110%
djia,+60%
yhoo news,+60%
nvda,+40%
yho,+40%
