fb stock,Breakout
vrng,+2,650%
fb,+850%
amzn,+140%
grpn,+130%
yhoo quote,+70%
yhoo fantasy football,+60%
nok,+60%
yhoo stock quote,+50%
aapl,+50%
yhoo stock,+40%
goog,+40%
