pnx,Breakout
bac,+1,250%
bac stock,+800%
lnc,+300%
aig stock,+250%
hig stock price,+250%
dji,+200%
gnw,+200%
aig,+110%
hig stock,+100%
f stock,+100%
wfc stock,+90%
hig quote,+60%
nyse hig,+50%
