aig,Breakout
gm,Breakout
aig stock,Breakout
fre rider 2,Breakout
fre stock quote,Breakout
ncc,Breakout
tma,Breakout
jpm,Breakout
uaua,Breakout
fnm,+3,050%
fnm fre,+2,750%
bac,+2,600%
fnm stock,+2,400%
wb,+2,000%
leh,+1,850%
abk,+1,600%
aapl,+1,450%
wm,+1,250%
fre rider,+1,250%
siri,+1,150%
fre stock,+1,050%
fannie mae,+1,000%
goog,+650%
yhoo,+650%
quote fre,+600%
