sol,Breakout
pot,+950%
bac,+350%
ma,+180%
csiq,+140%
yge,+130%
ener,+110%
ldk,+110%
solf,+100%
dji,+90%
rimm,+90%
fslr quote,+80%
isrg,+80%
yhoo,+80%
drys,+50%
fslr stock,+50%
