imgn,Breakout
aet,+2,900%
tsla,+650%
jnj stock split,+500%
jnj auction fremont,+160%
jnj auction,+140%
jnj online auction,+90%
jnj burger shack,+90%
aapl,+80%
pm stock,+80%
xom,+70%
amzn,+70%
jnj auctions,+70%
bp,+70%
jnj online,+60%
mrk,+60%
msft,+60%
dow jones,+50%
jnj stock price,+40%
dow,+40%
kmb,+40%
