vmw,Breakout
bx,Breakout
hmin,Breakout
cfc,+750%
iraq,+700%
alu,+350%
fxi,+300%
bidu,+250%
bbi,+180%
wm,+180%
msft stock quote,+170%
nyx,+130%
rimm,+130%
lvlt,+120%
quote aapl,+90%
emc,+80%
aapl,+70%
amzn,+60%
quote msft,+60%
nvda,+60%
nok,+60%
