faz,Breakout
fas,Breakout
msft layoffs,+900%
c stock,+170%
aa,+160%
ge stock,+140%
bac,+110%
mini msft,+100%
wfc,+90%
uso,+80%
aig,+70%
msft stock quote,+70%
msft quote,+50%
msft stock,+40%
ge,+40%
