ldk,Breakout
fre,+750%
fnm,+750%
aig,+650%
wm,+350%
wb,+300%
leh quote,+300%
leh stock,+200%
abk,+200%
jpm,+160%
lehman brothers,+140%
skf,+130%
bac,+130%
siri,+110%
mer,+110%
lehman,+100%
bloomberg,+90%
etfc,+70%
