bsc snark,Breakout
jpm,+1,050%
siri,+500%
wm,+400%
bear stearns,+350%
bear sterns,+300%
bsc stock,+250%
bsc quote,+200%
goog,+120%
aapl,+110%
bsc wellesley,+100%
hincha amarillo,+100%
leh,+100%
qqqq,+60%
bs,+40%
