chk investor relations,Breakout
chk jobs,+400%
aapl,+160%
chk news,+110%
cnbc,+80%
chk stock quote,+60%
chesapeake energy,+60%
chk google finance,+60%
chk stock,+50%
chk nutrition,+40%
