ir,Breakout
ard,+3,750%
nbr,+350%
david ball,+190%
aapl,+160%
unh stock quote,+130%
unh blackboard,+100%
unh housing,+100%
aet,+90%
unh classifieds,+90%
unh stock,+70%
unh dining,+70%
unh bookstore,+60%
mo,+50%
unh field hockey,+50%
amd,+40%
