wmt tractorcade 2013,Breakout
mdw stock,Breakout
blanchard gold,+3,850%
indu,+3,850%
tsla,+900%
bmy,+170%
djia,+130%
hrl,+80%
amzn,+70%
dis,+50%
yahoo finance wmt,+50%
ko,+40%
