fas,Breakout
ctic,Breakout
faz,+1,100%
vg,+700%
lvs,+550%
cit,+550%
c stock price,+500%
c stock,+450%
aig stock price,+300%
bac stock,+300%
hig,+200%
aa,+200%
drys,+200%
ge stock,+190%
dow jones,+180%
fnm stock price,+170%
siri,+160%
bac,+140%
aig stock,+120%
fnm stock quote,+110%
ge,+100%
scottrade,+90%
wfc,+90%
fnm stock,+70%
gnw,+70%
