qcor stock,Breakout
fb,+4,850%
ffn stock,+3,450%
znga,+1,150%
fb stock,+900%
nok,+180%
gmcr,+150%
nke,+110%
nflx google finance,+90%
grpn,+80%
nflx after hours,+60%
bac stock,+50%
nflx stock price,+50%
bac,+50%
