fb stock,Breakout
you rike dis,+3,550%
leviathan of dis,+1,000%
dis 2012,+700%
common dis drake,+500%
atvi,+250%
dis raps,+200%
sbux,+140%
dis xd games,+110%
i need dis,+100%
mcd,+100%
aapl,+80%
why dis,+80%
i maed dis,+80%
the dis unplugged,+70%
when dis,+70%
msft,+70%
what dis,+70%
aapl stock,+60%
disboards,+60%
