lil durk,Breakout
twtr,+4,950%
hek,+1,950%
kendrick lamar dis,+1,400%
lly,+1,300%
tsla,+1,200%
ddd,+750%
tsla stock,+650%
anr,+600%
fleur dis lee,+550%
sne,+300%
coh,+190%
amzn,+190%
djia,+170%
msft,+170%
gmcr,+160%
cvx,+160%
vlo,+150%
dolan comics,+140%
i maed dis,+120%
sbux,+110%
f stock,+90%
i made dis,+90%
i need dis,+60%
aapl,+50%
