bitcoin,Breakout
ati radeon 6950,+4,350%
ati 6950,+2,100%
ati 6990,+1,500%
ati 7000 series,+1,400%
ati weekend 2011,+1,350%
ati jamaica 2011,+1,300%
radeon hd 6850,+1,050%
amd bulldozer,+1,000%
ati radeon 6850,+950%
ati radeon 6970,+700%
ati 6970,+450%
ati 6850,+400%
ati virtualed,+350%
ati 1911,+350%
ativan,+200%
ati firepro v4800,+200%
ati radeon 3000,+190%
ati radeon 4250,+170%
ati guns,+170%
ati gsg 1911,+160%
ati 4250,+160%
ati 6870,+150%
atitesting,+150%
ati allegheny ludlum,+150%
