bbry,Breakout
mnkd,Breakout
brk-b,+3,450%
har stock,+3,450%
mwe stock,+3,450%
tsla,+500%
ddd stock,+350%
dis,+300%
yhoo stock,+140%
yhoo,+80%
amd,+80%
vmw,+60%
msft,+60%
hpq after hours,+60%
hp earnings,+50%
hpq share price,+50%
aapl stock,+50%
ford stock,+40%
hpq earnings,+40%
