bbry,Breakout
fb stock quote,Breakout
xin stock,+3,850%
slw stock,+2,700%
gtat,+2,500%
aig,+650%
tsla,+600%
rad,+600%
ddd,+300%
mu,+300%
agnc,+200%
qcom stock,+200%
slv,+170%
dis,+130%
intc dividend history,+130%
yhoo,+130%
armh,+120%
bp,+120%
cop,+100%
mmm stock,+100%
fb stock,+70%
xom,+70%
ge,+70%
qcom,+60%
ba,+60%
