fb stock,Breakout
fb,+3,900%
bwld,+3,250%
qcom,+200%
nok,+160%
qqq,+110%
intc dividend history,+90%
dis,+80%
amat,+50%
aapl stock,+50%
hpq,+50%
int,+40%
