len viator,Breakout
shaman king,+140%
len stoler lexus,+140%
len tillem,+120%
len horowitz,+100%
len druskin,+90%
len crafters,+90%
len bias death,+80%
len stoler,+70%
len hunt,+50%
len berman,+50%
len kasper,+40%
