aig bailout,Breakout
bailout,Breakout
fre,Breakout
aig bail out,Breakout
gm stock,Breakout
aig bankrupt,Breakout
aig junket,Breakout
siri,Breakout
fannie mae stock,Breakout
fnm stock,Breakout
aig bonuses,Breakout
credit default swaps,Breakout
aig collapse,Breakout
fre stock,Breakout
aig latest news,Breakout
aig retirement.com,Breakout
credit default swap,Breakout
aig execs,Breakout
apple stock,Breakout
aig hunting trip,Breakout
fnm,+4,000%
aig ceo salary,+3,950%
aig executive retreat,+3,950%
aig asset sale,+3,400%
aig ceo fired,+3,150%
