el corazon seattle,Breakout
hector el bambino,+2,700%
el crimen perfecto,+2,600%
tito el bambino,+1,200%
el divo,+1,000%
el principe azul,+500%
el pus,+450%
el cid actress,+300%
el ladies,+200%
el litoral,+190%
el papa,+180%
diario el litoral,+170%
el corazon,+120%
el vacilon,+110%
el rellano,+110%
el vaticano,+90%
el heraldo barranquilla,+90%
el cangri,+80%
rpp,+70%
el vaquero,+70%
el muerto,+70%
el manana,+60%
el dorado ranch,+60%
el libero,+60%
el zol,+60%
