ncc,Breakout
nt,Breakout
abk,+450%
leh,+250%
fnm,+180%
fre,+160%
bac,+150%
wb,+130%
wm,+130%
yhoo,+110%
aig,+100%
msft,+80%
siri,+70%
ldk,+70%
aapl,+40%
