mario kart wii,Breakout
fre,Breakout
jpm,+1,050%
wb,+700%
ms,+450%
wm,+400%
djia,+300%
bac,+250%
quote wfc,+250%
gs,+190%
aig,+150%
axp,+120%
ge,+110%
wfc stock,+110%
usb,+110%
msft,+70%
wfc stock quote,+70%
aapl,+60%
goog,+40%
