fas,Breakout
uso stock,Breakout
faz,+1,250%
aig stock,+800%
lvs,+450%
c stock,+400%
drys,+300%
bac stock,+250%
ge stock,+200%
pfg,+200%
aa,+190%
wfc stock price,+170%
nyse wfc,+170%
c quote,+150%
dji,+140%
wfc pbp cp,+130%
bac,+120%
ge,+120%
aig,+120%
djia,+110%
uyg,+110%
stock wfc,+110%
rf,+90%
dow jones,+90%
jpm,+80%
