ibm jeopardy challenge,+2,450%
ibm watson jeopardy,+1,900%
watson jeopardy,+1,550%
jeopardy,+1,550%
jeopardy ibm,+1,550%
ibm centennial,+1,200%
ibm layoffs 2011,+1,150%
ibm watson wiki,+1,100%
ibm iod 2011,+900%
ibm computer jeopardy,+800%
ibm 100 years,+800%
watson,+700%
watson ibm,+700%
ibm challenge,+600%
ibm layoff 2011,+450%
ibm v7000,+400%
ibm smart cloud,+300%
ibm impact 2011,+250%
ibm spss statistics,+250%
ibm stock split,+200%
ibm virtual desktop,+190%
spss,+140%
ibm spss,+140%
ibm secu,+130%
ibm power 750,+100%
