aapl,Breakout
znga,Breakout
msft,Breakout
aapl stock,Breakout
fb stock price,Breakout
stock fb,Breakout
grpn,Breakout
stock quote fb,Breakout
fb nasdaq,+4,700%
bac stock,+4,650%
fb cover photos,+4,450%
cover photos,+4,450%
djia,+4,150%
fb ipo,+3,750%
facebook stock,+3,600%
rimm,+3,550%
amzn,+3,250%
bac,+3,100%
nflx,+2,700%
fb covers,+2,700%
aapl quote,+2,350%
facebook cover photos,+2,300%
facebook covers,+2,250%
facebook ipo,+2,200%
apple stock,+2,100%
