lnkd,Breakout
ewj,Breakout
dzz,+2,800%
cy stock,+2,750%
nucor stock,+2,750%
drv,+2,700%
amr,+350%
nok,+250%
bac stock,+150%
cnbc,+140%
cscope,+90%
yhoo,+90%
arun,+90%
nflx,+90%
csco earnings,+80%
csco dividend,+80%
bac,+80%
aa,+80%
csco after hours,+70%
alu stock,+70%
stock quote c,+60%
aapl stock,+60%
quote csco,+50%
xxia,+50%
spy,+50%
