bbry,Breakout
su,Breakout
ivv,+2,800%
tsla,+1,000%
cscope,+400%
ntap,+130%
aapl stock,+80%
infy,+70%
arun,+70%
lnkd,+70%
vlo,+70%
csco earnings,+70%
spls,+70%
fb stock,+60%
wfc,+60%
yhoo,+60%
jcp,+50%
csco after hours,+50%
f stock,+40%
spy,+40%
csco stock price,+40%
msft,+40%
goog,+40%
