vmw,Breakout
alu,+650%
nyx,+550%
gs,+400%
fxi,+350%
rimm,+170%
mo,+130%
ma,+130%
emc,+110%
aapl,+80%
tm,+80%
auy,+70%
quote csco,+50%
dji,+50%
sai,+50%
lvlt,+50%
