bbry,Breakout
tesla stock,Breakout
uvxy,Breakout
tsla,+1,800%
twtr,+1,650%
ddd,+1,650%
tsla stock,+1,300%
ssys,+160%
lnkd,+150%
sne,+140%
dis,+140%
amzn share price,+120%
slv,+100%
yhoo,+100%
nflx,+100%
gld,+90%
goog stock,+90%
fb stock,+80%
amd,+80%
vz,+80%
amzn stocks,+80%
cost,+80%
msft,+60%
futures,+60%
amzn stock,+60%
